Feature,Importance
cas_nums_39_w1,0.2315215
cas_nums_172_w1,0.16479723
cas_nums_172_presence_w1,0.13288489
cas_nums_49_w1,0.112198904
cas_nums_49_presence_w1,0.056376733
cas_nums_39_presence_w1,0.05070175
cas_nums_172_w5,0.018464362
cas_nums_172_w15,0.0075700874
cln_nums_204_w15,0.006595584
cln_nums_212_w1,0.0064264173
cln_nums_204_w1,0.0061467756
cln_nums_1311_w15,0.005980622
cln_nums_204_w5,0.005919873
cas_nums_10119_w1,0.005430545
risk_nums_1060_w15,0.0053493395
cas_nums_151_w52,0.005084165
cas_nums_10119_presence_w1,0.0049804705
cln_nums_1311_w5,0.004937523
cln_nums_1311_w1,0.0049195127
cln_nums_1311_presence_w1,0.0046301195
cas_nums_172_presence_w5,0.004437779
cas_nums_10119_w5,0.004317526
cln_nums_204_presence_w1,0.0040837144
cas_nums_10177_w15,0.0031911696
ADMINRTE_CD_SC_w25,0.0031386875
ADMINRTE_CD_SC_w52,0.0029366433
DOSEFORM_CD_SOPN_w25,0.0029293266
cas_nums_172_w52,0.0024249624
cas_nums_10119_w15,0.002341668
cas_nums_172_presence_w52,0.002102328
DAYSSUPP_NBR_median_w15,0.0020501716
change_in_dc_min_w1,0.0020389121
cas_nums_10155_w52,0.0017483467
cas_nums_163_presence_w25,0.0017459645
cas_nums_49_w52,0.0017396937
cas_nums_39_w52,0.0017175032
DEA_CLASS_CD_0.0_w15,0.0016555997
ADMINRTE_CD_OR_w15,0.0016503867
ADMINRTE_CD_XX_w52,0.0016446576
UTIL_DS_Medical_w25,0.0015776344
ER_IND_Y_w25,0.0015169495
cln_nums_10040_w52,0.0015152901
cas_nums_10209_w25,0.0015065728
PLANDRUGST_CD_F_w15,0.0015028922
DAYSSUPP_NBR_sum_w15,0.0014573652
inpatient_ci_count_sum_w15,0.0014218913
OTC_CD_S_w15,0.0014162849
AWPBASE_AMT_sum_w15,0.0013771639
AWPBASE_AMT_max_w15,0.0013525255
AWPBASE_AMT_median_w52,0.0013441375
UTIL_DS_Medical_w15,0.0013405336
DOSEFORM_CD_SOPN_w15,0.0013250122
DAYSSUPP_NBR_median_w5,0.001324959
cas_nums_172_w25,0.0013218146
change_in_dc_max_w25,0.0012907458
AWPCALC_AMT_sum_w5,0.0012447545
cln_nums_1322_w5,0.0012290289
MAILORD_IND_Y_w25,0.0012066425
cas_nums_10132_w25,0.0011871259
DAYSSUPP_NBR_sum_w5,0.0011789238
DRUGGNRC_FL_G_w15,0.0011625543
risk_nums_1012_w25,0.001145884
change_in_dc_min_w15,0.0011380516
combined_diagnoses_Symptoms/Signs of Circulatory/Respiratory Systems_w52,0.0011229579
cas_nums_98_w25,0.0011139252
cas_nums_10111_w52,0.0011049468
AWPCALC_AMT_sum_w15,0.0010849009
MAINT_CD_Y_w25,0.0010837531
change_in_dc_median_w15,0.0010688019
"combined_diagnoses_Endocrine, Nutritional and Metabolic Diseases_w52",0.0010666705
SALESTAX_AMT_min_w25,0.0010607118
PROC_CD_Durable medical equipment/Aministrative contractors_w52,0.0010338805
UTIL_DS_E&M Emergency Room_w25,0.0010258758
cas_nums_31_w52,0.0010188108
cln_nums_1308_presence_w25,0.0009958048
AWPBASE_AMT_std_w15,0.0009777001
change_in_dc_sum_w15,0.000977165
MAILORD_IND_Y_w52,0.0009586499
ADMINRTE_CD_SC_w15,0.00094586384
UTIL_DS_Cardiovascular_w25,0.0009222755
DAYSSUPP_NBR_std_w25,0.0009194894
COMPOUND_CD_1.0_w15,0.0009194649
cln_nums_1136_presence_w52,0.0008867456
CRE_TRACT_0RF_PMOE,0.000885637
"combined_diagnoses_Mental, Behavioral, and Neurodevelopmental Disorders_w52",0.00088518544
UTIL_DS_Emergency Room_w15,0.0008729661
cln_nums_361_w52,0.0008696439
SALESTAX_AMT_sum_w5,0.00085427135
combined_diagnoses_Symptoms/Signs of Nervous/Musculoskeletal Systems_w25,0.000851983
cln_nums_9034_w15,0.0008512507
cas_nums_10110_w25,0.0008499794
FORMULARY_IND_Y_w15,0.00083960016
DAYSSUPP_NBR_mean_w15,0.0008356189
cas_nums_170_w15,0.0008341473
risk_nums_1090_w15,0.00082548073
Age,0.00082480744
change_in_dc_mean_w52,0.00082309823
cln_nums_192_w1,0.00081848586
MLTSGL_CD_1.0_w15,0.0008117678
"RURAL_URBAN_CODE_Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",0.0008107305
DEA_CLASS_CD_0.0_w25,0.00080164697
PROC_CD_Medicine Services and Procedures_w52,0.0007988927
DAYSSUPP_NBR_sum_w25,0.0007957087
DRUGGNRC_FL_B_w15,0.00078002625
AWPCALC_AMT_max_w52,0.0007784359
cln_nums_1088_w5,0.00077792705
clinical_risk_score_mean_w25,0.0007773576
COMPOUND_CD_1.0_w25,0.0007748835
combined_diagnoses_Diseases Circulatory System_w52,0.0007743718
cas_nums_173_w52,0.0007708225
DAYSSUPP_NBR_median_w25,0.00077007205
CRE_TRACT_3RF_EMOE,0.0007698966
cln_nums_204_w25,0.00076062564
DOSEFORM_CD_TABS_w15,0.0007482529
AWPBASE_AMT_median_w15,0.00074820407
AWPBASE_AMT_min_w15,0.0007390002
cas_nums_10145_w25,0.0007385458
change_in_dc_max_w15,0.0007180891
INGRD_CHARGE_AMT_min_w25,0.00071503094
cln_nums_1102_w5,0.0007061713
INGRD_CHARGE_AMT_median_w15,0.0006912512
DAYSSUPP_NBR_mean_w5,0.0006707889
"combined_diagnoses_Abnormal Findings Imaging/Function, No Diagnosis_w5",0.0006574563
REFILL_CD_sum_w52,0.00065021607
cas_nums_22_w1,0.0006425186
change_in_dc_mean_w5,0.0006424682
CRE_TRACT_12RF_PMOE,0.0006423335
FORMULARY_IND_Y_w25,0.00062632974
risk_nums_1059_w25,0.00062274816
PROC_CD_Medical and Surgical_w25,0.00061116595
cln_nums_284_w25,0.00060415355
INGRCOST_AMT_min_w25,0.00060213497
cas_nums_10245_w15,0.0005983572
SALESTAX_AMT_mean_w5,0.00059432315
AWPCALC_AMT_min_w25,0.0005926905
cas_nums_10157_w52,0.0005902374
risk_nums_1062_w52,0.0005825556
risk_nums_57_presence_w52,0.00056893734
AWPBASE_AMT_min_w25,0.00056869123
combined_diagnoses_Diseases Nervous System_w25,0.0005677066
cas_nums_173_w15,0.0005532958
AWPCALC_AMT_min_w15,0.0005468593
CRE_TRACT_0RF_EMOE,0.0005451451
USDA_FD_TRACT_HUNV_C,0.0005440011
cas_nums_308_presence_w25,0.0005348232
REFILL_CD_std_w52,0.0005278126
AWPBASE_AMT_mean_w15,0.00052367384
health_cat_* 05a: Pop Health Cat: Chronic Big 5 - At Risk_w52,0.0005156749
cln_nums_556_w25,0.000499409
PLANDRUGST_CD_F_w25,0.00049389125
cln_nums_1159_w15,0.0004924566
AWPCALC_AMT_max_w1,0.00049079506
cln_nums_1248_w25,0.00048773564
inpatient_ci_count_std_w15,0.00048458515
cln_nums_755_w25,0.0004829924
cln_nums_1170_w25,0.0004802922
change_in_dc_max_w52,0.00047732968
cas_nums_302_w25,0.0004676604
health_cat_* 09a: Pop Health Cat: Dementia_w25,0.00046712946
INGRD_CHARGE_AMT_min_w5,0.00046114737
PROC_CD_Vision Services_w52,0.0004573573
TRACT_ACS_NO_HS_DIPLOMA_EST,0.00045051027
cln_nums_1308_w25,0.00044474303
cln_nums_1004_w52,0.00044040103
cas_nums_119_w25,0.0004385086
cln_nums_1248_w52,0.00043251598
cust_care_hlth_sys_CENTRACARE SOUTHWEST_w15,0.0004257489
cln_nums_1136_w52,0.00042531436
risk_nums_100_w15,0.00042139986
cas_nums_10245_w52,0.00041718577
cln_nums_354_w52,0.0004147169
cln_nums_1065_w25,0.00041409308
cas_nums_10200_w25,0.00041157866
CRE_TRACT_3RF_PCT,0.0004100495
combined_diagnoses_Neoplasms_w15,0.00040957937
cas_nums_48_w52,0.0004094462
cln_nums_29_presence_w25,0.0
cln_nums_791_w25,0.0
cln_nums_308_presence_w25,0.0
cln_nums_307_presence_w25,0.0
cln_nums_293_presence_w25,0.0
cln_nums_306_presence_w25,0.0
cln_nums_305_presence_w25,0.0
cln_nums_303_presence_w25,0.0
cln_nums_302_presence_w25,0.0
cln_nums_294_presence_w25,0.0
cln_nums_287_presence_w25,0.0
cln_nums_301_presence_w25,0.0
cln_nums_281_presence_w25,0.0
cln_nums_300_presence_w25,0.0
cln_nums_290_presence_w25,0.0
cln_nums_30_presence_w25,0.0
cln_nums_295_presence_w25,0.0
cln_nums_3_presence_w25,0.0
cln_nums_284_presence_w25,0.0
cln_nums_283_presence_w25,0.0
cln_nums_285_presence_w25,0.0
cln_nums_297_presence_w25,0.0
cln_nums_298_presence_w25,0.0
cln_nums_792_w25,0.0
cln_nums_288_presence_w25,0.0
cln_nums_292_presence_w25,0.0
cln_nums_33_presence_w25,0.0
cln_nums_309_presence_w25,0.0
cln_nums_789_w25,0.0
cln_nums_354_presence_w25,0.0
cln_nums_356_presence_w25,0.0
cln_nums_358_presence_w25,0.0
cln_nums_359_presence_w25,0.0
cln_nums_36_presence_w25,0.0
cln_nums_360_presence_w25,0.0
cln_nums_361_presence_w25,0.0
cln_nums_790_w25,0.0
cln_nums_362_presence_w25,0.0
cln_nums_363_presence_w25,0.0
cln_nums_364_presence_w25,0.0
cln_nums_365_presence_w25,0.0
cln_nums_352_presence_w25,0.0
cln_nums_367_presence_w25,0.0
cln_nums_369_presence_w25,0.0
cln_nums_37_presence_w25,0.0
cln_nums_370_presence_w25,0.0
cln_nums_371_presence_w25,0.0
cln_nums_372_presence_w25,0.0
cln_nums_373_presence_w25,0.0
cln_nums_374_presence_w25,0.0
cln_nums_376_presence_w25,0.0
cln_nums_382_presence_w25,0.0
cln_nums_383_presence_w25,0.0
cln_nums_353_presence_w25,0.0
cln_nums_350_presence_w25,0.0
cln_nums_31_presence_w25,0.0
cln_nums_324_presence_w25,0.0
cln_nums_311_presence_w25,0.0
cln_nums_312_presence_w25,0.0
cln_nums_314_presence_w25,0.0
cln_nums_316_presence_w25,0.0
cln_nums_317_presence_w25,0.0
cln_nums_318_presence_w25,0.0
cln_nums_319_presence_w25,0.0
cln_nums_320_presence_w25,0.0
